id,username,text,Hate
1.84E+18,Debbie133467421,Kamala Harris is very connected to Diddy. She even attended his parties. Someone in MSM want to ask about that?,0
1.84E+18,wellyworldfl,@catturd2 And all the insurance companies will claim bankruptcy.,0
1.84E+18,Mapski3,@AccountableGOP @Liz_Cheney Says the Treasonous Traitor as she joins the party of Hate!,0
1.84E+18,JLG1956,NBC News: GOP Likely to Appoint More Justices if Trump Wins,0
1.84E+18,JD_in_VA,@SteamHappy123 @GOP I've asked the first question of the GOP and Trump supporters and no one has ever answered it.,0
1.84E+18,MyBloggerLife,"Four prominent previously pro-Trump GOP women to make the case against him in battleground Pennsylvania 
 Source: CNN",0
1.84E+18,loudproudTexan,"@DC_Draino @catturd2 .@LaraLeaTrump Could work with these counties set up mobile voting vans, or possibly huge tents with temporary generators.
 
 We can figure out a way for them to vote locally if GOP/DNC work together.",0
1.84E+18,InBluejeans14,Perfect sense to catch the real criminals like her ( to MAGA everything and everyone else is corrupt that means one thing it is a Cult,1
1.84E+18,TNakanwag,"@realDonaldTrump Dear President Trump. I kindly ask you to tell your MAGA family to visit Uganda, Africa. Ugandans are very friendly",0
1.84E+18,effcons,Donald Trump Refused To Approve Wildfire Aid Until He Learned Affected Areas Were MAGA,0
1.84E+18,TEarlMitchell,"@TomBuck Absolutely! It's time, once again, for the toxic-Right to fuck us all in the ass (and let the loony-Left overturn anti-abortion gains) because the GOP won't kiss theirs on the abortion issue.",1
1.84E+18,GlitterFox13,@ItsJustTrista @phlood13 @KamalaHQ Everyone who worked with him as president says he's not fit to hold the office. There was a confirmed report today that he didn't want to send aid to Cali for the fires and was only convinced to do so because that area voted for GOP. What kind of president is that?,0
1.84E+18,Mahatron_,"@yalligatorgar Relistened to rfk jr on joe rogan today while shifting cattle. Bobby is on point. He will be an awesome asset to this administration.
 Nothing wrong will his voice",0
1.84E+18,breakingt2024,"Cats For Kamala Harris Flag, Childless Cat Ladies For Kamala Flags - Harris Walz Store",0
1.84E+18,NotToda52393553,"@robertmclaws @islamoradalover wtf? Are you high? Dem
 Mismanagement??? How many years has the GOP been the majority? Sit down.",0
1.84E+18,truthbombprints,"@DefiyantlyFree Kamala is the warmonger, Trump wants peace. RINOs go with the money and the weapons.",0
1.84E+18,MahvaHonnie,"@CollinRugg Keep your liberal socialistic markist BS on your side of the pond! Work on getting your own mess straightened out before you lecture us!
 GOD BLESS ANERICA AND DONALD TRUMP!
 MAGA forever!!!",0
1.84E+18,shawnngee,@KamalaHarris Kamala Harris is a whole walking daddy issue,1
1.84E+18,its_only_time,"@kenyladyde Fer shure, the parties have flipped: The Dems work for and get money from the rich, and the GOP works for everyone.",0
1.84E+18,BruDawg82,@BryanKemper From the non-critical thinking wing of the Republican Party. Which is essentially the Republican Party.,0
1.84E+18,suchatimewaste,@BasedMikeLee Luckily the house gop is a joke and not a useful source of information,0
1.84E+18,chrisfawkes,"@brianeskow Identify to policies that Trump is putting forward and if you think that will make the country better then that would make you MAGA. 
 
 If you just don't want more of the last four years probably the latter.",0
1.84E+18,Takeru18457,"@RobertKennedyJr Let's bring back freedom of speech and democracy to America. 
 Let's win Trump as president.
 
 MAGA.
 MAHA.",0
1.84E+18,TrumpGirlOnFire,"Kamala Harris campaign mocked JD Vance when he got booed by union, but Trump just got the last laugh",0
1.84E+18,2ewl,"He had a trial and was given probation because he tried to calm people at the riot and he turned himself in afterwards.
 Then MAGA tried to destroy him for being apostate.
 Do you make up your own news now that Bannon is in jail?",0
1.84E+18,govtmiracles,@TMZ Noooo!!! Only @JDVance will tell women what to do with their bodies!!! #MAGA,
1.84E+18,TapioTiihonen,"Kamala Harris' win shall lead to illegal immigration catastrophe and chaotic support of UKR. It shaall mean the U.S. bankruptcy, and dollar's losing its world currency position. And the U.S. silencing about crime &amp; illegals action, more sanctuary cites should arrive and so ...",0
1.84E+18,TSteler,"@captivedreamer7 The Gop, slightly less antiwhite than the democrats.",0
1.84E+18,Alan4_HK,@elonmusk This is what RNC @ChairmanWhatley @LaraLeaTrump need to stop from happening. Dems are going to take cheating to the next level in 2024. Poll watchers and lawyers are not going to stop them on election day or after. RNC needs to stop election officials from cheating now before,0
1.84E+18,michael_bluejay,@DutchyPatrick Insisting that a wild idea with no credible evidence must be true just because you believe it to be true...and you people think you're different from MAGA.,0
1.84E+18,schwendau,@mpdillon She should never get another dime from the GOP because she is a traitor and no Republican... not that she was before either though.,0
1.84E+18,damightygodking,@alx The Republican party is majority whites who care for the future of America and its progress. The democratic party is majority illegal immigrants who want to make America the same shit hole they have lived in.,0
1.84E+18,KMW_SaveAmerica,"@Zlatti_71 Madeline Albright was one of the worst, I think Hilliary Clinton and Victoria Nuland looked up to her as a role model. Nikki Haley was aspiring to be in their league; but got cut from the draft picks - thank goodness.",0
1.84E+18,pjkate,Joy Reid admits what a recent poll confirmed: Some Democrats are apparently desperate for violence -- Reid provided everyone with a reminder that there is a strong violent reflex within the Democratic Party.,0
1.84E+18,TOffermans,"The rats have left the ship, MAGA is going down.",1
1.84E+18,HW_Helser,"@jstagrlnred @SarahisCensored I understand your point. Thankfully, their husbands at least played lip service to the prolife movement. Your point is really more about the establishment GOP leaders not being truly Conservative. On that I agree.",
1.84E+18,oldfitnessdoc,"@ShaykhSulaiman Israel agree to a ceasefire when THEY say they have agreed to it 
 
 Not by a rumour from a third party",0
1.84E+18,GrassTouchr8,@hredsigor @LatinxAdolf @captivedreamer7 Weird how that's the only thing the GOP base is actually getting,0
